Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (25885880),Joel Embiid,25885880,CPT,18600,SAC@PHI 12/13/2022 07:00PM ET,PHI,57.65
PG/SG,James Harden (25885881),James Harden,25885881,CPT,15900,SAC@PHI 12/13/2022 07:00PM ET,PHI,50.17
C,Domantas Sabonis (25885882),Domantas Sabonis,25885882,CPT,15300,SAC@PHI 12/13/2022 07:00PM ET,SAC,43.75
PG,De'Aaron Fox (25885883),De'Aaron Fox,25885883,CPT,13800,SAC@PHI 12/13/2022 07:00PM ET,SAC,40.38
PG,Tyrese Maxey (25885884),Tyrese Maxey,25885884,CPT,12900,SAC@PHI 12/13/2022 07:00PM ET,PHI,36.77
C,Joel Embiid (25885847),Joel Embiid,25885847,UTIL,12400,SAC@PHI 12/13/2022 07:00PM ET,PHI,57.65
SF/PF,Tobias Harris (25885885),Tobias Harris,25885885,CPT,11400,SAC@PHI 12/13/2022 07:00PM ET,PHI,33
PG/SG,De'Anthony Melton (25885886),De'Anthony Melton,25885886,CPT,10800,SAC@PHI 12/13/2022 07:00PM ET,PHI,27.88
PG/SG,James Harden (25885848),James Harden,25885848,UTIL,10600,SAC@PHI 12/13/2022 07:00PM ET,PHI,50.17
C,Domantas Sabonis (25885849),Domantas Sabonis,25885849,UTIL,10200,SAC@PHI 12/13/2022 07:00PM ET,SAC,43.75
SG/SF,Kevin Huerter (25885887),Kevin Huerter,25885887,CPT,9900,SAC@PHI 12/13/2022 07:00PM ET,SAC,28.44
SF/PF,Harrison Barnes (25885888),Harrison Barnes,25885888,CPT,9600,SAC@PHI 12/13/2022 07:00PM ET,SAC,24.72
PG,Shake Milton (25885889),Shake Milton,25885889,CPT,9300,SAC@PHI 12/13/2022 07:00PM ET,PHI,21.57
PG,De'Aaron Fox (25885850),De'Aaron Fox,25885850,UTIL,9200,SAC@PHI 12/13/2022 07:00PM ET,SAC,40.38
PG/SG,Malik Monk (25885890),Malik Monk,25885890,CPT,9000,SAC@PHI 12/13/2022 07:00PM ET,SAC,24.73
PG,Tyrese Maxey (25885851),Tyrese Maxey,25885851,UTIL,8600,SAC@PHI 12/13/2022 07:00PM ET,PHI,36.77
SF/PF,Tobias Harris (25885852),Tobias Harris,25885852,UTIL,7600,SAC@PHI 12/13/2022 07:00PM ET,PHI,33
SF/PF,Keegan Murray (25885891),Keegan Murray,25885891,CPT,7500,SAC@PHI 12/13/2022 07:00PM ET,SAC,21.58
PG/SG,De'Anthony Melton (25885853),De'Anthony Melton,25885853,UTIL,7200,SAC@PHI 12/13/2022 07:00PM ET,PHI,27.88
C,Montrezl Harrell (25885892),Montrezl Harrell,25885892,CPT,7200,SAC@PHI 12/13/2022 07:00PM ET,PHI,10.51
PG/SG,Davion Mitchell (25885893),Davion Mitchell,25885893,CPT,6900,SAC@PHI 12/13/2022 07:00PM ET,SAC,13.6
SG/SF,Kevin Huerter (25885854),Kevin Huerter,25885854,UTIL,6600,SAC@PHI 12/13/2022 07:00PM ET,SAC,28.44
SF/PF,Harrison Barnes (25885855),Harrison Barnes,25885855,UTIL,6400,SAC@PHI 12/13/2022 07:00PM ET,SAC,24.72
PG,Shake Milton (25885856),Shake Milton,25885856,UTIL,6200,SAC@PHI 12/13/2022 07:00PM ET,PHI,21.57
PG/SG,Malik Monk (25885857),Malik Monk,25885857,UTIL,6000,SAC@PHI 12/13/2022 07:00PM ET,SAC,24.73
PF,Georges Niang (25885894),Georges Niang,25885894,CPT,5400,SAC@PHI 12/13/2022 07:00PM ET,PHI,15.79
SF/PF,Keegan Murray (25885858),Keegan Murray,25885858,UTIL,5000,SAC@PHI 12/13/2022 07:00PM ET,SAC,21.58
C,Montrezl Harrell (25885859),Montrezl Harrell,25885859,UTIL,4800,SAC@PHI 12/13/2022 07:00PM ET,PHI,10.51
PF/C,P.J. Tucker (25885895),P.J. Tucker,25885895,CPT,4800,SAC@PHI 12/13/2022 07:00PM ET,PHI,11.95
PG/SG,Davion Mitchell (25885860),Davion Mitchell,25885860,UTIL,4600,SAC@PHI 12/13/2022 07:00PM ET,SAC,13.6
SF/PF,Danuel House Jr. (25885896),Danuel House Jr.,25885896,CPT,4200,SAC@PHI 12/13/2022 07:00PM ET,PHI,9.61
SG/SF,Terence Davis (25885897),Terence Davis,25885897,CPT,3900,SAC@PHI 12/13/2022 07:00PM ET,SAC,14.87
PF,Georges Niang (25885861),Georges Niang,25885861,UTIL,3600,SAC@PHI 12/13/2022 07:00PM ET,PHI,15.79
C,Chimezie Metu (25885898),Chimezie Metu,25885898,CPT,3300,SAC@PHI 12/13/2022 07:00PM ET,SAC,11.90
PF/C,P.J. Tucker (25885862),P.J. Tucker,25885862,UTIL,3200,SAC@PHI 12/13/2022 07:00PM ET,PHI,11.95
C,Paul Reed (25885899),Paul Reed,25885899,CPT,3000,SAC@PHI 12/13/2022 07:00PM ET,PHI,11.56
SF/PF,Danuel House Jr. (25885863),Danuel House Jr.,25885863,UTIL,2800,SAC@PHI 12/13/2022 07:00PM ET,PHI,9.61
SG/SF,Terence Davis (25885864),Terence Davis,25885864,UTIL,2600,SAC@PHI 12/13/2022 07:00PM ET,SAC,14.87
C,Chimezie Metu (25885865),Chimezie Metu,25885865,UTIL,2200,SAC@PHI 12/13/2022 07:00PM ET,SAC,11.90
PF/C,Trey Lyles (25885900),Trey Lyles,25885900,CPT,2100,SAC@PHI 12/13/2022 07:00PM ET,SAC,11.82
C,Paul Reed (25885866),Paul Reed,25885866,UTIL,2000,SAC@PHI 12/13/2022 07:00PM ET,PHI,11.56
PG,Matthew Dellavedova (25885901),Matthew Dellavedova,25885901,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.27
SG/SF,Furkan Korkmaz (25885902),Furkan Korkmaz,25885902,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,8.7
C,Neemias Queta (25885903),Neemias Queta,25885903,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,0
PG,Saben Lee (25885904),Saben Lee,25885904,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,4.75
C,Alex Len (25885905),Alex Len,25885905,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,3.16
SG/SF,Matisse Thybulle (25885906),Matisse Thybulle,25885906,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,6.07
SF,Julian Champagnie (25885907),Julian Champagnie,25885907,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,1
C,Richaun Holmes (25885908),Richaun Holmes,25885908,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.71
PF,KZ Okpala (25885909),KZ Okpala,25885909,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.13
SG/SF,Keon Ellis (25885910),Keon Ellis,25885910,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,0.62
PF,Chima Moneke (25885911),Chima Moneke,25885911,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,SAC,2.5
SG,Jaden Springer (25885912),Jaden Springer,25885912,CPT,1500,SAC@PHI 12/13/2022 07:00PM ET,PHI,3
PF/C,Trey Lyles (25885867),Trey Lyles,25885867,UTIL,1400,SAC@PHI 12/13/2022 07:00PM ET,SAC,11.82
PG,Matthew Dellavedova (25885868),Matthew Dellavedova,25885868,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.27
SG/SF,Furkan Korkmaz (25885869),Furkan Korkmaz,25885869,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,8.7
C,Neemias Queta (25885870),Neemias Queta,25885870,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,0
PG,Saben Lee (25885871),Saben Lee,25885871,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,4.75
C,Alex Len (25885872),Alex Len,25885872,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,3.16
SG/SF,Matisse Thybulle (25885873),Matisse Thybulle,25885873,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,6.07
SF,Julian Champagnie (25885874),Julian Champagnie,25885874,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,1
C,Richaun Holmes (25885875),Richaun Holmes,25885875,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.71
PF,KZ Okpala (25885876),KZ Okpala,25885876,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,5.13
SG/SF,Keon Ellis (25885877),Keon Ellis,25885877,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,0.62
PF,Chima Moneke (25885878),Chima Moneke,25885878,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,SAC,2.5
SG,Jaden Springer (25885879),Jaden Springer,25885879,UTIL,1000,SAC@PHI 12/13/2022 07:00PM ET,PHI,3
